City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Klyuchi,RU,52.2667,79.1667,7.42,83,93,3.49,overcast clouds
323,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,29.57,49,65,1.39,broken clouds
324,Maraba,BR,-5.3686,-49.1178,30.22,40,62,0.51,broken clouds
325,Uong Bi,VN,21.0333,106.7833,25.99,86,7,1.33,clear sky
326,Monte Azul,BR,-15.155,-42.8747,25.1,45,14,2.71,few clouds
327,Wajima,JP,37.4,136.9,16.04,65,100,5.36,light rain
328,Ujjain,IN,23.1833,75.7667,22.92,92,100,2.49,overcast clouds
329,Severodvinsk,RU,64.5635,39.8302,9.06,96,94,2.86,overcast clouds
330,Tazovskiy,RU,67.4667,78.7,0.46,86,100,2.18,overcast clouds
331,Ahipara,NZ,-35.1667,173.1667,11.61,63,98,8.13,overcast clouds
332,Marsa Matruh,EG,31.3525,27.2453,22.06,60,0,7.15,clear sky
333,Havoysund,NO,70.9963,24.6622,7.13,87,99,7.87,overcast clouds
334,Alekseyevsk,RU,57.8406,108.3492,-3.1,73,70,1.45,broken clouds
335,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,8.33,46,75,4.0,broken clouds
336,Muros,ES,42.7762,-9.0603,18.94,82,99,6.61,overcast clouds
337,San Isidro,PE,-12.1167,-77.05,17.79,76,100,6.17,overcast clouds
338,Nizhneudinsk,RU,54.9076,99.0276,-0.48,90,100,2.54,overcast clouds
339,Daru,PG,-9.0763,143.2092,27.69,86,82,7.29,broken clouds
340,Port-Gentil,GA,-0.7193,8.7815,25.25,83,59,5.74,broken clouds
341,Atar,MR,20.5169,-13.0499,33.73,15,32,5.57,scattered clouds
